,Benevolence,Integrity,Competence,Identification,Concern
Male mean,3.03,3.04,3.08,3.04,3.13
Female mean,3.11,3.39,3.3,3.34,3.39
Male sd,0.7,0.9,0.89,0.78,0.99
Female sd,0.85,0.83,0.85,0.82,0.94
t-statistic,t(201.6) = -0.74,t(212) = -2.94,t(208) = -1.75,t(208) = -2.65,t(208) = -1.92
p-value,0.4623,0.0036,0.0822,0.0086,0.0568
95% C.I.,[ -0.29 ;  0.13 ],[ -0.59 ;  -0.12 ],[ -0.45 ;  0.03 ],[ -0.53 ;  -0.08 ],[ -0.53 ;  0.01 ]
n,85_129,85_129,83_127,83_127,83_127
