,Benevolence,Integrity,Competence,Identification,Concern
Instagram_user mean,3.18,3.38,3.37,3.35,3.49
non-Instagram_user mean,2.89,2.99,2.93,3,2.92
Instagram_user sd,0.78,0.81,0.82,0.82,0.92
non-Instagram_user sd,0.79,0.93,0.89,0.76,0.94
t-statistic,t(212) = 2.59,t(212) = 3.19,t(208) = 3.62,t(208) = 3.05,t(208) = 4.23
p-value,0.0102,0.0017,4e-04,0.0026,0
95% C.I.,[ 0.07 ;  0.51 ],[ 0.15 ;  0.63 ],[ 0.2 ;  0.68 ],[ 0.12 ;  0.58 ],[ 0.3 ;  0.83 ]
n,140_74,140_74,136_74,136_74,136_74
