,Benevolence,Integrity,Competence,Identification,Concern
Googlepluss_user mean,3.1,3.29,3.33,3.33,3.41
non-Googlepluss_user mean,3.07,3.22,3.15,3.17,3.23
Googlepluss_user sd,0.77,0.85,0.82,0.8,0.98
non-Googlepluss_user sd,0.81,0.89,0.89,0.82,0.96
t-statistic,t(212) = 0.26,t(212) = 0.54,t(208) = 1.38,t(208) = 1.38,t(208) = 1.26
p-value,0.7935,0.5908,0.1688,0.1683,0.2095
95% C.I.,[ -0.2 ;  0.26 ],[ -0.18 ;  0.32 ],[ -0.07 ;  0.42 ],[ -0.07 ;  0.4 ],[ -0.1 ;  0.45 ]
n,74_140,74_140,72_138,72_138,72_138
