,Benevolence,Integrity,Competence,Identification,Concern
Youtube_user mean,3.12,3.26,3.28,3.23,3.34
non-Youtube_user mean,3.03,3.22,3.12,3.22,3.22
Youtube_user sd,0.66,0.76,0.78,0.79,0.86
non-Youtube_user sd,0.96,1.02,0.98,0.86,1.11
t-statistic,t(141.07) = 0.75,t(149.28) = 0.32,t(155.05) = 1.26,t(208) = 0.07,t(152.33) = 0.82
p-value,0.4535,0.7463,0.2081,0.9438,0.4145
95% C.I.,[ -0.14 ;  0.32 ],[ -0.21 ;  0.3 ],[ -0.09 ;  0.41 ],[ -0.22 ;  0.23 ],[ -0.16 ;  0.4 ]
n,127_87,127_87,124_86,124_86,124_86
