,Benevolence,Integrity,Competence,Identification,Concern
Male mean,2.88,2.97,3.18,2.98,3.12
Female mean,2.95,2.75,2.95,2.81,3.07
Male sd,0.65,0.67,0.7,0.64,0.77
Female sd,0.73,0.74,0.69,0.68,0.74
t-statistic,t(117) = -0.57,t(117) = 1.63,t(117) = 1.75,t(117) = 1.37,t(117) = 0.33
p-value,0.5696,0.105,0.082,0.1742,0.7399
95% C.I.,[ -0.32 ;  0.18 ],[ -0.05 ;  0.47 ],[ -0.03 ;  0.49 ],[ -0.08 ;  0.41 ],[ -0.23 ;  0.33 ]
n,72_47,72_47,72_47,72_47,72_47
