,Benevolence,Integrity,Competence,Identification,Concern
Instagram_user mean,2.88,2.85,3.04,2.9,3.09
non-Instagram_user mean,3.24,3.22,3.7,3.1,3.24
Instagram_user sd,0.68,0.71,0.68,0.66,0.75
non-Instagram_user sd,0.59,0.55,0.7,0.64,0.84
t-statistic,t(117) = -1.62,t(117) = -1.6,t(117) = -2.93,t(117) = -0.93,t(117) = -0.61
p-value,0.1069,0.1122,0.004,0.3525,0.5431
95% C.I.,[ -0.8 ;  0.08 ],[ -0.82 ;  0.09 ],[ -1.11 ;  -0.22 ],[ -0.63 ;  0.23 ],[ -0.65 ;  0.34 ]
n,109_10,109_10,109_10,109_10,109_10
