,Benevolence,Integrity,Competence,Identification,Concern
Youtube_user mean,2.89,2.86,3.07,2.89,3.1
non-Youtube_user mean,3.1,3.14,3.32,3.14,3.1
Youtube_user sd,0.68,0.7,0.7,0.67,0.74
non-Youtube_user sd,0.7,0.75,0.74,0.51,0.91
t-statistic,t(117) = -0.93,t(117) = -1.22,t(117) = -1.07,t(117) = -1.14,t(117) = 0
p-value,0.3543,0.2266,0.2887,0.258,0.9971
95% C.I.,[ -0.65 ;  0.24 ],[ -0.74 ;  0.18 ],[ -0.71 ;  0.21 ],[ -0.68 ;  0.18 ],[ -0.49 ;  0.5 ]
n,109_10,109_10,109_10,109_10,109_10
